Categoria: Tutte le categorie

Mese,bitcoin: (Tutto il mondo)
2017-08,22
2017-09,21
2017-10,22
2017-11,45
2017-12,100
2018-01,54
2018-02,40
2018-03,23
2018-04,18
2018-05,14
2018-06,13
2018-07,13
2018-08,12
2018-09,11
2018-10,9
2018-11,14
2018-12,13
2019-01,10
2019-02,10
2019-03,8
2019-04,12
2019-05,17
2019-06,20
2019-07,18
2019-08,15
2019-09,12
2019-10,12
2019-11,11
2019-12,10
2020-01,13
2020-02,14
2020-03,18
2020-04,16
2020-05,19
2020-06,14
2020-07,14
2020-08,16
2020-09,12
2020-10,13
2020-11,23
2020-12,33
2021-01,62
2021-02,68
2021-03,47
2021-04,48
2021-05,65
2021-06,46
2021-07,31
2021-08,31
2021-09,30
2021-10,37
2021-11,32
2021-12,34
2022-01,42
2022-02,35
2022-03,30
2022-04,23
2022-05,36
2022-06,39
2022-07,29
2022-08,22
2022-09,21
2022-10,17
2022-11,26
2022-12,19
2023-01,20
2023-02,20
2023-03,22
2023-04,22
2023-05,18
2023-06,18
2023-07,18
2023-08,17
2023-09,14
2023-10,19
2023-11,20
2023-12,25
2024-01,28
2024-02,25
2024-03,40
2024-04,31
2024-05,22
2024-06,19
2024-07,21
2024-08,23
2024-09,18
2024-10,17
2024-11,44
2024-12,40
2025-01,30
